headword,transliteration,meaning_en,part_of_speech
अतिदघ्,atidagh,"to go beyond, to pass (3",
अतिदत्त,atidatta,N. of a brother of Dattadatta and son of Ra1ja1dhidevarAjADideva Hariv.,m.
अतिदह्,atidah,to burn or blaze across S3Br,
अतिदा,atidā,to surpass in giving RV,
अतिदान्त,atidānta,N. of a prince.,m.
अतिदाश्,atidāś,to favour with a gift,
अतिदिव्,atidiv,"ind.p. d/IvyA [= vya]), to play higher RV. x, 42, 9",
अतिदिश्,atidiś,"to make over, transfer, assign: Pass",mfn.
अतिदीप्य,atidīpya,very brilliant,m.
अतिदृप्,atidṛp,to be excessively conceited.,
अतिदेव,atideva,a superior god,m.
अतिद्रु,atidru,"to run by, pass hastily RV.",
अतिधन्वन्,atidhanvan,N. of a Vedic teacher,m.
अतिधा,atidhā,to put away.,mfn.
अतिधाव्,atidhāv,to run or rush over.,
अतिधृति,atidhṛti,N. of a class of metres (belonging to those called aticCandas,f.
अतिध्यै,atidhyai,to meditate deeply VP.,
अतिध्वंस्,atidhvaṃs,to raise the dust in running through or over (3,
अतिनम्,atinam,to bend aside,
अतिनामन्,atināman,N. of a Saptarshisaptarzi of the sixth Manvantaramanvantara.,m.
अतिनाष्ट्र,atināṣṭra,beyond danger,mfn.
अतिनिःश्वस्,atiniḥśvas,to breathe or sigh violently.,
अतिनिचृत्,atinicṛt,"or wrongly written ati-nivft) f. N. of a Vedic metre of three pa1daspAdas (containing respectively seven, six and seven syllables) RV.",f.
अतिनिद्रम्,atinidram,beyond sleeping time Pa1n2,ind.
अतिनिष्टन्,atiniṣṭan,"tan), (perf",
अतिनिह्नुत्य,atinihnutya,ind.p,
अतिनी,atinī,"to lead over or beyond, to help a person over anything RV. &c",
अतिनु,atinu,Caus,
अतिनुद्,atinud,to drive by AV.,
अतिनेद्,atined,"to stream or flow over, foam over TS",
अतिनौ,atinau,disembarked Pa1n2,mfn.
अतिपञ्चा,atipañcā,a girl who is past five.,f.
अतिपटीक्षेप,atipaṭīkṣepa,v.l. for a-pawIkzepa m. omitting to remove or non-removal of the theatrical curtain.,m.
अतिपठ्,atipaṭh,Pass,
अतिपत्,atipat,"to fall or fly by or past or beyond or over, to neglect, miss: Caus",n.
अतिपत्त्र,atipattra,the Teak tree,m.
अतिपद्,atipad,"to go beyond (acc.), jump over",f.
अतिपर,atipara,one who has over come his enemies,mfn.
अतिपरी,atiparī,pari-i),
अतिपश्,atipaś,"to look beyond, look through RV. i, 94, 7",
अतिपा,atipā,Caus,
अतिपादनिचृत्,atipādanicṛt,N. of a Vedic metre of three pa1daspAdas (containing respectively six,f.
अतिपितृ,atipitṛ,surpassing his own father S3Br,m.
अतिपू,atipū,P. to clarify or purify through (3. pl. aor. /ati apAvizuH) RV. ix,
अतिपृ,atipṛ,"to convey across, to help over RV.",mfn.
अतिपॄ,atipṝ,cl.4 P,
अतिप्रचित्,atipracit,-cekite (= -cikite BR.,
अतिप्रच्यु,atipracyu,to pass by TBr,
अतिप्रछ्,atiprach,to go on asking S3Br,
अतिप्रज्वल्,atiprajval,to flame or blaze exceedingly MBh.,
अतिप्रणश्,atipraṇaś,naS),
अतिप्रणी,atipraṇī,nI) to lead by or beyond La1t2y.,
अतिप्रणुद्,atipraṇud,nud) to press or incite very strongly.,
अतिप्रपद्,atiprapad,Caus,
अतिप्रमाण,atipramāṇa,beyond measure immense.,mfn.
अतिप्रयम्,atiprayam,to give or hand over TS.,
अतिप्रयुज्,atiprayuj,to separate from (with instr.) TS.,
अतिप्रवह्,atipravah,to extend or carry beyond.,
अतिप्रवा,atipravā,cl.4 P,
अतिप्रविद्ध,atipraviddha,vyaD),mfn.
अतिप्रवृत्,atipravṛt,to issue violently (as blood from a wound) Sus3r.,
अतिप्रवे,atiprave,to add in weaving,
अतिप्रशंस्,atipraśaṃs,to praise highly.,
अतिप्रशृध्,atipraśṛdh,Caus,
अतिप्रश्रु,atipraśru,cl.5 A1,
अतिप्रसद्,atiprasad,P. -sidati,n.
अतिप्रसृ,atiprasṛ,Intens,mfn.
अतिप्रस्था,atiprasthā,to have an advantage over RV,
अतिप्रहा,atiprahā,cl.3 A1,
अतिप्राणम्,atiprāṇam,exceeding life.,ind.
अतिप्रु,atipru,to jump over,
अतिप्रेषित,atipreṣita,the time following the PraishaprEza ceremony Ka1tyS3r.,n.
अतिबाध्,atibādh,to molest or annoy exceedingly.,
अतिबृह्,atibṛh,to push out intensely (scil. retas,
अतिब्रह्मन्,atibrahman,N. of a king.,m.
अतिब्रू,atibrū,"or aBi-brU, to insult, abuse MBh",
अभिब्रू,abhibrū,"or aBi-brU, to insult, abuse MBh",
अतिभा,atibhā,"-B/Ati, to blaze or be very bright AV. x, 3, 17",
अतिभू,atibhū,"perf. -baBUva), to originate or take rise in an excessive way MBh. viii, 4541",m.
अतिभूमि,atibhūmi,extensive land,f.
अतिभूष्,atibhūṣ,to adorn one's self before (another),
अतिभृ,atibhṛ,A1. to pass or extend over (perf. 2. sg. jaBrize) RV. ix,m.
अतिमन्,atiman,"-manyate (1. pl. -manAmah/e'ti), to disdain, despise RV. &c",mfn.
अतिमनुष्यबुद्धि,atimanuṣyabuddhi,having a superhuman intellect.,mfn.
अतिमर्त्य,atimartya,superhuman.,mfn.
अतिमर्याद,atimaryāda,exceeding the proper limit,mfn.
अतिमर्शम्,atimarśam,mfS),ind.
अतिमात्र,atimātra,exceeding the proper measure AV,mfn.
अतिमानुष,atimānuṣa,"superhuman, divine MBh",mfn.
अतिमाम्,atimām,acc. of aty-aham q.v.),
अतिमाय,atimāya,emancipated from Ma1ya1mAyA or Illusion,mfn.
अतिमार,atimāra,or ati-BAra m,m.
अतिभार,atibhāra,or ati-mAra m,m.
अतिमित,atimita,over measured,mfn.
अतिमित,atimita,not moistened.,mfn.
अतिमुच्,atimuc,Pass,m.
अतिमृत्यु,atimṛtyu,overcoming death ChUp.,mfn.
अतियज्,atiyaj,to neglect or pass in offering a sacrifice TS.,
अतिया,atiyā,to pass over or before,
अतियूयम्,atiyūyam,nom. pl. of ati-tvam q.v.),
अतिराज्,atirāj,to shine over (aor.Subj,m.
अतिरात्र,atirātra,prepared or performed over-night RV,mfn.
अतिरि,atiri,neut,
अतिरिच्,atiric,"Pass. -ricyate, to be left with a surplus, to surpass (in a good or bad sense with abl. or acc.)",mfn.
अतिरुच्,atiruc,to shine over or along RV. &c,m.
अतिरुह्,atiruh,"to climb or ascend over RV. ix, 17, 5",
अतिरै,atirai,"exceeding one's income, extravagant Pa1n2",
अतिलङ्घ्,atilaṅgh,Caus,
अतिलिहा,atilihā,or aWillA f,f.
अठिल्ला,aṭhillā,or atilihA f,f.
अतिवच्,ativac,to blame,
अतिवद्,ativad,"to speak louder or better, to surpass or overpower in disputing TBr. &c",
अतिवयम्,ativayam,nom. pl. of aty-aham q.v.),
अतिवह्,ativah,to carry over or across to pass by,n.
अतिवा,ativā,"cl.2 P. -vAti, to blow beyond AV.",ind.
अतिवास,ativāsa,a fast on the day before performing the S3ra1ddhaSrAdDa.,m.
अतिविधा,atividhā,cl.3 A1,
अतिविराज्,ativirāj,to shine or be brilliant exceedingly MBh,
अतिविलङ्घ्,ativilaṅgh,Caus,
अतिविलुड्,ativiluḍ,Caus,
अतिविवृत्,ativivṛt,"Caus. -vartayati, to separate too far, to make too great distinction between RV.",
अतिविश्रम्भ्,ativiśrambh,Caus,mfn.
अतिविश्व,ativiśva,"superior to all or to the universe , N",m.
अतिविश्वस्,ativiśvas,to confide or trust too much (generally with na neg.,
अतिवी,ativī,to outstrip RV,
अतिवृंहित,ativṛṃhita,"vfMh), strengthened MBh",mfn.
अतिवृत्,ativṛt,"to pass beyond, surpass, cross",n.
अतिवृध्,ativṛdh,to surpass in growing,mfn.
अतिवृष्,ativṛṣ,to rain violently.,
अतिवेल,ativela,passing the proper boundary,mfn.
अतिव्यध्,ativyadh,"Ved. Inf. ati-viDe RV. v, 62, 9), to pierce through RV.",mfn.
अतिव्रज्,ativraj,to pass by,
अतिशंस्,atiśaṃs,"to recite beyond measure, to continue reciting",n.
अतिशक्करी,atiśakkarī,or ati-SakvarI f,f.
अतिशक्वरी,atiśakvarī,or ati-SakkarI f,f.
अतिशक्र,atiśakra,superior to Indraindra.,mfn.
अतिशङ्क्,atiśaṅk,to suspect strongly La1t2y.,
अतिशय,atiśaya,"&c , see 1",
अतिशस्त्र,atiśastra,superior to weapons.,mfn.
अतिशाक्वर,atiśākvara,written in or connected with the Ati-s3akvari1ati-SakvarI metre.,mfn.
अतिशि,atiśi,cl.3 A1,
अतिशिष्,atiśiṣ,to leave remaining,mfn.
अतिशी,atiśī,"-Sete, to precede in lying down MBh.",m.
अतिशी,atiśī,to fall or drop beyond Ka1t2h.,
अतिशीतम्,atiśītam,past or beyond the cold,ind.
अतिशीलय,atiśīlaya,Nom. P. yati,
अतिशुभ्,atiśubh,"to be brilliant, to please: Caus",
अतिश्रेष्ठ,atiśreṣṭha,superior to the best,mfn.
अतिश्लिष्,atiśliṣ,to fasten or tie over.,
अतिश्व,atiśva,mf(I)n,mf
अतिषक्त,atiṣakta,or (in later texts) atisakta mfn,mfn.
अतिषित,atiṣita,tied or bound round (so as to prevent the flow of any liquid) RV,mfn.
अतिष्कन्द्,atiṣkand,"skand) to cover (said of a bull) RV. v, 52, 3,",mfn.
अतिष्टिघम्,atiṣṭigham,stiG) ind,ind.
अतिष्टु,atiṣṭu,"stu) to go on too far in reciting hymns of praise, PBr.",
अतिष्ठत्,atiṣṭhat,not standing,mfn.
अतिष्ठा,atiṣṭhā,"sTA) to be at the head of, govern RV.",f.
अतिसंधा,atisaṃdhā,"to overreach, deceive S3a1k.",ind.
अतिसर्व,atisarva,superior to all Pa1n2,mfn.
अतिसांवत्सर,atisāṃvatsara,extending over more than a year Mn.,mfn.
अतिसाम्या,atisāmyā,the sweet juice of the BengalBengal MadderMadder,f.
अतिसृ,atisṛ,Caus. to cause to pass through: Pass. -sAryate,m.
अतिसृज्,atisṛj,to glide over or along RV.,m.
अतिसृप्,atisṛp,"to glide or creep over, get over RV",
अतिसेन,atisena,N. of a prince.,m.
अतिसेव्,atisev,"to use or enjoy immoderately, to practise excessively",
अतिसौपर्ण,atisauparṇa,superior to (the powers of) Suparn2asuparRa or Garud2agaruqa.,mfn.
अतिस्त्रि,atistri,"mf(is, or I)n",mf
अतिस्रंस्,atisraṃs,"to drop or turn away from, to escape RV",
अतिस्रु,atisru,to flow over or flow excessively.,mfn.
अतिस्वृ,atisvṛ,to hold or sustain a note PBr.,mfn.
अतिहन्,atihan,Desid,mfn.
अतिहस्तय,atihastaya,"Nom. (fr. ati-hasta) P. atihastayati, to stretch out the hands",
अतिहा,atihā,to jump over RV. &c,
अतिहिमम्,atihimam,after the frost,ind.
अतिहृ,atihṛ,to hold over,m.
अतिह्वे,atihve,1. sg. A1. -hvaye),
अती,atī,"i) cl.2 P. aty-eti, -etum, to pass by, elapse, pass over, overflow",mfn.
अतीकाश,atīkāśa,brightness,m.
अतीक्ष्ण,atīkṣṇa,not sharp,mfn.
अतीचार,atīcāra,= ati-c (p,m.
अतीन्द्रिय,atīndriya,beyond the (cognizance of the) senses,mfn.
अतीरेक,atīreka,See ati-ric.,
अतीर्ण,atīrṇa,not crossed,mfn.
अतीर्थ,atīrtha,"a wrong way or manner (ena, not in the right or usual manner), S3Br.",n.
अतीव,atīva,exceedingly,ind.
अतीवाद,atīvāda,= ati-vAda,m.
अतीव्र,atīvra,not sharp,mfn.
अतीश,atīśa,N. of a learned Buddhist (the re-founder of La1mismLamism),m.
अतीष्,atīṣ,Iz) to pass by (acc.) MaitrS.,
अतीसार,atīsāra,See and ati-sf.,
अतुङ्ग,atuṅga,not tall,mfn.
अतुन्द,atunda,not stout,mfn.
अतुर,atura,not liberal,mfn.
अतुल,atula,unequalled,mfn.
अतुष,atuṣa,without husks S3Br.,mfn.
अतुषारकर,atuṣārakara,having not cold rays,m.
अतुष्टि,atuṣṭi,displeasure,f.
अतुहिन,atuhina,not cold,m.
अतूतुजि,atūtuji,"not quick, slow RV",mfn.
अतूर्त,atūrta,[RV. viii,mfn.
अतृणाद,atṛṇāda,"not an eater of grass , a newly-born calf S3Br",m.
अतृदिल,atṛdila,"having no interstices , solid RV",mfn.
अतृप,atṛpa,not satisfied RV,mfn.
अतृषित,atṛṣita,"not thirsty, not greedy RV",mfn.
अतेजस्,atejas,absence of brightness or vigour,n.
अतैलपूर,atailapūra,"mfn., SeetElapUra 87077, [Kum",mfn.
अतोषणीय,atoṣaṇīya,not to be pleased or appeased.,mfn.
अत्क,atka,at) a traveller L.,m.
अत्कील,atkīla,N. of an ancient R2ishifzi (utkila q.v.) A1s3vS3r.,m.
अत्तलि,attali,N. of a man.,m.
अत्तव्य,attavya,"ad), fit or proper to be eaten Mn.",mfn.
अत्ता,attā,probably a colloquialism borrowed from the Deccan,f.
अत्त्र,attra,See 3,
अत्त्रि,attri,"See /atri, p",
अत्त्रीणि,attrīṇi,or f,m.
अत्न,atna,or atnu m,m.
अत्नु,atnu,or atna m,m.
अत्यंहस्,atyaṃhas,beyond the reach of evil or distress VS.,mfn.
अत्यग्नि,atyagni,too rapid digestion,m.
अत्यग्निष्टोम,atyagniṣṭoma,N. of the second of the seven modifications of the Jyotisht2omajyotizwoma sacrifice,m.
अत्यग्र,atyagra,whose point is jutting over TS.,mfn.
अत्यङ्कुश,atyaṅkuśa,past or beyond the (elephant-driver's) hook,mfn.
अत्यङ्गुल,atyaṅgula,exceeding an an3gulaaNgula (finger's breadth).,mfn.
अत्यतिक्रम्,atyatikram,to approach for sexual intercourse MBh.,
अत्यतिरिच्,atyatiric,Pass,
अत्यनिल,atyanila,surpassing the wind.,mfn.
अत्यनुसृ,atyanusṛ,Caus,
अत्यन्त,atyanta,beyond the proper end or limit,mfn.
अत्यभिसृत,atyabhisṛta,"sf), having approached too much, having come too close MBh",mfn.
अत्यय,atyaya,fr. i with ati,m.
अत्यराति,atyarāti,N. of a son of JanantapajanaMtapa AitBr.,m.
अत्यर्थ,atyartha,beyond the proper worth,mfn.
अत्यर्द्,atyard,to press hard,
अत्यर्ह्,atyarh,Subj,
अत्यवसृज्,atyavasṛj,to let loose,
अत्यवि,atyavi,passing over or through the strainer (consisting of sheep's wool or a sheep's tail,m.
अत्यश्,atyaś,to precede in eating S3Br.,
अत्यष्टि,atyaṣṭi,a metre (of four lines,f.
अत्यस्,atyas,"Imper. -astu) to excel, surpass RV. vii, 1, 14",
अत्यस्,atyas,to shoot beyond,mfn.
अत्यहम्,atyaham,surpassing me,
अत्यह्न,atyahna,exceeding a day in duration Pa1n2,mfn.
अत्याकर,atyākara,1. kf),m.
अत्याक्रम्,atyākram,ind.p. -kr/amya) to walk past TS.,
अत्याचार,atyācāra,performance of works of supererogation,m.
अत्यादित्य,atyāditya,surpassing the sun.,mfn.
अत्यादृ,atyādṛ,to take great care of,
अत्याधम्,atyādham,-Damati,
अत्याधा,atyādhā,to place in a higher rank S3Br.,n.
अत्याय,atyāya,"i), the act of going beyond, transgression, excess Pa1n2",m.
अत्यायत्,atyāyat,A1. to make extraordinary efforts for (loc.) Das3.,
अत्याया,atyāyā,to pass by RV.,
अत्यायु,atyāyu,N. of a sacrificial vessel PBr.,n.
अत्याल,atyāla,Plumbago Rosea.,m.
अत्याश्रमिन्,atyāśramin,superior to the (four) A1s3ramasASramas,m.
अत्यासद्,atyāsad,Caus,mfn.
अत्यासृ,atyāsṛ,to run near Kaus3.,mfn.
अत्युक्ता,atyuktā,N. of a class of metres (of four lines,f.
अत्युक्था,atyukthā,N. of a class of metres (of four lines,f.
